RBD;DV_RBD;NOM_RBD;COD_DEPE2;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;RURAL_RBD;EFECTIVR;SUPERAR;INICIAR;MEJORAR;INTEGRAR;IGUALDR;CLUSTER;INDICER;SEL2020_25;SEL2020_35;SEL
1890;2;COLEGIO JOSE MIGUEL INFANTE;1;5;5801;QUILPUÉ;0;35.089177;58.555205;87.99;100.0;50.833333;93.80844;511;59.837376;2;2;3
1891;0;ESCUELA BASICA JORGE ROCK LARA;1;5;5801;QUILPUÉ;0;28.67436;55.691484;0.0;100.0;0.0;92.796475;533;48.618353;2;2;3
1892;9;ESCUELA BASICA GASPAR CABRALES;1;5;5801;QUILPUÉ;0;26.424278;55.160895;85.35;100.0;66.166667;94.202755;513;56.375973;2;2;3
1893;7;ESCUELA BASICA DARIO SALAS;1;5;5801;QUILPUÉ;0;34.757424;57.401793;88.26;100.0;68.416667;93.18876;512;60.15071;2;2;3
1894;5;CENTRO DE EDUCACION DE ADULTOS;1;5;5801;QUILPUÉ;0;36.449839;54.968483;59.46;100.0;25.875;71.735949;533;51.520875;2;2;3
1895;3;LICEO TECNICO PROFESIONAL MANNHEIM;1;5;5801;QUILPUÉ;0;28.961397;59.477287;90.527273;96.666667;50.333333;91.565481;533;57.395399;2;2;3
1898;8;ESCUELA THEODOR HEUSS;1;5;5801;QUILPUÉ;0;34.120701;53.350075;89.37;100.0;86.666667;91.85244;513;59.465751;2;2;3
1899;6;ESCUELA TENIENTE IGNACIO SERRANO MONTANER;1;5;5801;QUILPUÉ;0;40.197681;52.773905;96.55;100.0;89.75;89.951086;512;61.719575;2;2;3
1900;3;ESCUELA LOS MOLLES DE MARGA MARGA;1;5;5801;QUILPUÉ;1;29.955552;54.725847;0.0;100.0;0.0;94.227158;511;49.136766;2;2;3
1901;1;ESCUELA SANTIAGO BUERAS;1;5;5801;QUILPUÉ;1;40.666343;54.725847;0.0;100.0;0.0;94.336879;521;53.123898;2;2;3
1905;4;GABRIELA MISTRAL DE LA RETUCA;1;5;5801;QUILPUÉ;1;43.093134;54.725847;0.0;100.0;0.0;91.822986;521;53.468754;2;2;3
1906;2;ESCUELA DELFINA ALARCON HENRIQUEZ;1;5;5801;QUILPUÉ;1;46.418412;54.725847;89.211111;100.0;86.8;92.132723;521;64.459915;1;2;1
1908;9;LICEO DE NINAS JAVIERA CARRERA;2;5;5801;QUILPUÉ;0;36.446603;54.014192;59.855;73.333333;38.583333;89.962953;531;55.3882;2;2;3
1909;7;COLEGIO LIAHONA;2;5;5801;QUILPUÉ;0;49.812082;53.430657;0.0;100.0;0.0;93.921824;531;56.053856;2;2;3
1911;9;COLEGIO CREP;2;5;5801;QUILPUÉ;0;43.609803;54.903076;79.99;100.0;52.083333;93.255538;531;61.428273;2;2;3
1917;8;ESCUELA PARTICULAR EXEQUIEL PUELMA SILVA;2;5;5801;QUILPUÉ;0;38.392647;53.624478;98.08;100.0;80.583333;95.537985;511;62.152457;2;2;3
1918;6;COLEGIO LOS LEONES DE QUILPUE;2;5;5801;QUILPUÉ;0;45.98789;53.396562;98.24;100.0;74.666667;92.912792;532;64.035105;2;2;3
1919;4;COLEGIO H. F. CAMILO HENRIQUEZ;2;5;5801;QUILPUÉ;0;59.544259;50.761492;85.49;96.666667;81.0;94.42727;531;68.131326;1;2;1
1923;2;COLEGIO CRISTIANO DE QUILPUE;2;5;5801;QUILPUÉ;0;44.819886;52.787385;0.0;100.0;0.0;88.159577;531;52.758932;2;2;3
1924;0;ESCUELA PARTICULAR INFANTES DEL SOL;2;5;5801;QUILPUÉ;0;39.512937;49.138728;88.08;100.0;81.083333;93.731323;511;60.338488;2;2;3
1927;5;ESCUELA JUAN DE SAAVEDRA;2;5;5801;QUILPUÉ;0;35.672761;48.910764;66.18;100.0;62.166667;93.14116;511;56.464124;2;2;3
1930;5;ABRAHAM LINCOLN MEMORIAL COLLEGE;2;5;5801;QUILPUÉ;0;43.70467;52.772286;78.47;100.0;87.75;93.808056;511;62.68044;2;2;3
1931;3;KING EDWARD SCHOOL;2;5;5801;QUILPUÉ;0;42.498843;54.437429;84.254545;100.0;93.0;92.875155;511;63.104859;2;2;3
1932;1;COLEGIO PANAL II;2;5;5801;QUILPUÉ;0;42.498843;54.437429;94.2;100.0;77.6;95.622098;511;63.535914;2;1;2
1934;8;COLEGIO ESPERANZA;2;5;5801;QUILPUÉ;0;47.381018;52.20985;80.57;100.0;63.0;93.706261;531;62.749312;2;2;3
1941;0;COLEGIO EL BELLOTO;2;5;5801;QUILPUÉ;0;42.405207;54.810589;86.65;100.0;45.583333;93.463953;531;61.077128;2;2;3
1958;5;LICEO TECNOLOGICO VILLA ALEMANA;1;5;5804;VILLA ALEMANA;0;28.292707;54.083498;83.331818;100.0;59.583333;86.454475;533;54.610741;2;2;3
1959;3;WINDMILL COLLEGE;1;5;5804;VILLA ALEMANA;0;38.94047;54.639342;90.0;100.0;74.083333;93.766691;532;61.439828;2;2;3
1961;5;ESCUELA LATINA INES GALLARDO ORELLANA;1;5;5804;VILLA ALEMANA;0;29.694611;51.767392;89.53;100.0;77.666667;90.775829;512;56.707692;2;2;3
1963;1;ESCUELA BASICA DIEGO BARROS ARANA;1;5;5804;VILLA ALEMANA;0;44.225336;60.101829;90.7;100.0;90.166667;95.600849;511;66.174406;1;2;1
1965;8;COLEGIO ITALO COMPOSTO SCARPATI;1;5;5804;VILLA ALEMANA;0;32.950531;53.761625;90.01;100.0;79.416667;91.930568;513;58.84111;2;2;3
1966;6;ESCUELA BASICA CATALUNYA;1;5;5804;VILLA ALEMANA;0;29.454525;53.249523;98.37;100.0;82.583333;94.904426;511;58.718381;2;2;3
1967;4;LICEO BICENTENARIO TÉCNICO PROFESIONAL MARY GRAHAM;1;5;5804;VILLA ALEMANA;0;56.569192;53.364048;89.53;100.0;76.0;91.718354;531;67.222372;2;1;2
1968;2;ESCUELA MELVIN JONES;1;5;5804;VILLA ALEMANA;0;29.044971;64.175276;77.05;100.0;84.5;92.117732;513;59.829617;2;2;3
1969;0;COLEGIO CHARLES DARWIN;1;5;5804;VILLA ALEMANA;0;30.987293;54.374579;78.24;100.0;82.416667;90.92302;533;57.508478;2;2;3
1970;4;ESCUELA DIEGO PORTALES;1;5;5804;VILLA ALEMANA;0;39.338659;52.025698;88.53;100.0;91.583333;94.700041;512;61.847475;2;2;3
1971;2;ESCUELA MANUEL MONTT;1;5;5804;VILLA ALEMANA;0;34.036475;56.212282;87.03;100.0;66.5;91.27349;533;58.959903;2;2;3
1975;5;ESCUELA JUAN BAUTISTA ALBERDI;1;5;5804;VILLA ALEMANA;0;32.856419;48.835311;93.15;100.0;68.5;93.912285;512;57.505465;2;2;3
1976;3;ESCUELA EL PATAGUAL;1;5;5804;VILLA ALEMANA;1;36.856134;54.725847;46.27;100.0;57.933333;92.60127;512;57.005153;2;2;3
1977;1;COLEGIO NACIONAL;2;5;5804;VILLA ALEMANA;0;50.232156;49.790535;97.0;100.0;99.333333;95.295764;531;66.278982;2;2;3
1980;1;COLEGIO PARTICULAR JEAN PIAGET;2;5;5804;VILLA ALEMANA;0;47.726369;55.956233;72.57;100.0;52.716667;91.602022;532;62.46898;2;2;3
1985;2;CENTRO INFANTIL EL BUEN CAMINO;2;5;5804;VILLA ALEMANA;0;36.91517;58.141268;0.0;100.0;0.0;88.475631;513;51.402807;2;2;3
1987;9;COLEGIO NUEVO CHILENO BRITANICO;2;5;5804;VILLA ALEMANA;0;32.489465;56.418101;89.06;96.666667;67.666667;87.358112;533;57.697222;2;2;3
1996;8;LICEO MANUEL DE SALAS;1;5;5102;CASABLANCA;0;29.148894;54.083498;65.559091;93.333333;53.416667;93.186327;533;54.900508;2;2;3
1997;6;ESCUELA DOMINGO ORTIZ DE ROZAS;1;5;5102;CASABLANCA;0;48.069449;53.993525;94.7;100.0;98.0;94.132943;533;66.19513;1;2;1
1998;4;ESCUELA ARTURO ECHAZARRETA LARRAIN;1;5;5102;CASABLANCA;0;34.005899;50.912007;97.98;100.0;97.916667;94.520487;513;60.406685;2;2;3
1999;2;ESCUELA MANUEL BRAVO REYES;1;5;5102;CASABLANCA;0;27.326144;46.273194;91.52;100.0;87.666667;90.006745;513;54.743185;2;2;3
2003;6;ESCUELA SAN PEDRO DE QUINTAY;1;5;5102;CASABLANCA;0;43.720357;56.877953;82.48;100.0;66.666667;94.086951;513;63.083622;1;2;1
2005;2;ESCUELA BASICA LAGUNILLAS;1;5;5102;CASABLANCA;0;34.547016;58.50095;62.56;100.0;65.166667;92.707579;513;58.570263;2;2;3
2007;9;COLEGIO PARTIC. JULIO MONTT SALAMANCA;2;5;5102;CASABLANCA;0;34.044619;55.329588;76.86;100.0;62.466667;92.223813;533;58.112966;2;2;3
2008;7;ESCUELA PURISIMA DE LO VASQUEZ;2;5;5102;CASABLANCA;0;33.130469;53.009731;78.25;100.0;62.9;92.779015;513;57.352382;2;2;3
2009;5;COLEGIO INSULAR ROBINSON CRUSOE;5;5;5104;JUAN FERNÁNDEZ;1;38.269173;51.903912;82.67;100.0;70.416667;92.12094;541;59.44033;2;2;3
2012;5;PROFESOR JUAN DANTE PARRAGUEZ ARELLANO;1;5;5601;SAN ANTONIO;0;29.179465;58.166916;70.786364;100.0;69.25;91.421011;533;56.905443;2;2;3
2013;3;INST.COMERCIAL MARITIMO PACIFICO SUR;1;5;5601;SAN ANTONIO;0;31.538271;51.645891;92.2;100.0;54.666667;91.589598;533;56.545054;2;2;3
2014;1;ESCUELA POETA PABLO NERUDA;1;5;5601;SAN ANTONIO;0;36.67792;53.998219;94.97;100.0;78.25;92.941308;513;60.748119;2;1;2
2017;6;ESCUELA VILLA LAS DUNAS;1;5;5601;SAN ANTONIO;0;35.261888;50.516087;95.08;100.0;90.833333;93.200412;513;59.94196;2;2;3
2018;4;ESCUELA MOVILIZADORES PORTUARIOS;1;5;5601;SAN ANTONIO;0;34.823948;56.127047;87.415;100.0;58.25;93.535567;533;59.335659;2;2;3
2019;2;COLEGIO ESPANA;1;5;5601;SAN ANTONIO;0;35.49588;54.619147;89.37;100.0;96.333333;91.423398;533;60.718851;2;2;3
2020;6;ESCUELA PRESIDENTE PEDRO AGUIRRE CERDA;1;5;5601;SAN ANTONIO;0;41.355744;55.436751;96.1;100.0;92.333333;91.329968;513;63.299175;1;2;1
2021;4;PADRE ANDRE COINDRE;1;5;5601;SAN ANTONIO;0;36.909933;56.399914;78.66;100.0;31.166667;92.198056;513;58.010157;2;2;3
2022;2;ESCUELA BASICA SAN JOSE DE CALASANZ;1;5;5601;SAN ANTONIO;0;34.538813;48.715396;82.915;100.0;65.25;94.882085;513;57.53113;2;2;3
2023;0;ESCUELA CRISTO DEL MAIPO;1;5;5601;SAN ANTONIO;0;31.078842;51.456946;87.8;100.0;67.666667;92.783503;513;56.97082;2;2;3
2024;9;PROFESOR PEDRO VIVEROS ORMENO;1;5;5601;SAN ANTONIO;0;32.335979;46.934282;75.39;90.0;36.0;93.019156;513;53.693526;2;2;3
2025;7;ESCUELA PRE-BASICA PETER PAN;1;5;5601;SAN ANTONIO;0;34.007957;54.901404;0.0;100.0;0.0;94.458454;513;50.736197;2;2;3
2026;5;ESCUELA BASICA CERRO PLACILLA;1;5;5601;SAN ANTONIO;0;37.290037;51.048982;94.87;100.0;82.916667;93.527174;513;60.50504;2;2;3
2027;3;ESCUELA POETA HUIDOBRO;1;5;5601;SAN ANTONIO;0;29.215428;55.095081;92.28;100.0;79.75;94.194768;512;58.48348;2;2;3
2028;1;PARVULARIO RAYITO DE SOL;1;5;5601;SAN ANTONIO;0;34.007957;54.901404;74.881818;100.0;73.4;92.875155;513;58.55078;2;2;3
2035;4;COLEGIO AGRÍCOLA CUNCUMÉN GONZALO BARROS AMUNÁTEGUI;1;5;5601;SAN ANTONIO;1;33.345942;52.621816;79.454545;100.0;59.083333;94.775173;541;57.644084;2;2;3
2036;2;ESCUELA BASICA LEYDA;1;5;5601;SAN ANTONIO;1;45.128587;38.399087;98.533333;100.0;100.0;94.206242;521;61.086695;2;2;3
2037;0;EDUARDO FERNANDEZ DE ASTURIAS;1;5;5601;SAN ANTONIO;1;42.770263;64.061654;99.444444;100.0;80.0;94.542107;521;66.528191;1;2;1
2038;9;ESCUELA BASICA EL ASILO;1;5;5601;SAN ANTONIO;1;21.847583;53.851977;67.488889;100.0;25.4;95.644979;521;51.523388;2;2;3
2040;0;LICEO NACIONAL DE LLO LLEO;2;5;5601;SAN ANTONIO;0;47.040264;53.206487;80.43;100.0;75.833333;93.02802;533;63.386345;1;2;1
2041;9;LICEO SANTA TERESITA DE LLOLLEO;2;5;5601;SAN ANTONIO;0;46.599521;56.653671;74.4;100.0;74.416667;92.597684;532;63.661175;2;2;3
2042;7;INSTITUTO DEL PUERTO DE SAN ANTONIO;2;5;5601;SAN ANTONIO;0;56.212694;53.103508;88.67;100.0;99.583333;93.735086;531;68.588765;1;2;1
2043;5;INSTITUTO ERCILLA;2;5;5601;SAN ANTONIO;0;43.076444;59.224983;100.0;100.0;100.0;94.832077;533;66.384336;1;2;1
2044;3;ESCUELA INDUSTRIAL SAN ANTONIO;2;5;5601;SAN ANTONIO;0;36.643894;52.1775;79.390909;100.0;72.416667;90.9239;533;58.555487;2;2;3
2045;1;LICEO GABRIELA MISTRAL;2;5;5601;SAN ANTONIO;0;58.057339;52.160543;89.17;100.0;97.833333;94.229402;531;69.058502;1;2;1
2047;8;COLEGIO PARTICULAR SARA CRUCHAGA;2;5;5601;SAN ANTONIO;0;38.037106;52.208458;64.78;100.0;40.966667;92.498148;533;56.976823;2;2;3
2048;6;COLEGIO SAGRADA FAMILIA;2;5;5601;SAN ANTONIO;0;39.328854;54.28694;100.0;100.0;100.0;94.250079;533;63.487037;1;2;1
2049;4;COLEGIO FUND.EDUC. FERNANDEZ LEON;2;5;5601;SAN ANTONIO;0;56.272498;47.431892;82.78;100.0;72.666667;93.409882;531;65.252062;2;2;3
2050;8;COLEGIO NUESTRA SENORA DE POMPEYA;2;5;5601;SAN ANTONIO;0;39.531515;53.200638;74.79;100.0;78.883333;92.288954;533;60.257976;2;2;3
2052;4;COLEGIO PROVIDENCIA;2;5;5601;SAN ANTONIO;0;45.61393;55.357208;0.0;100.0;0.0;94.190844;533;55.099158;2;2;3
2054;0;COLEGIO PART.GUILLERMO BLEST GANA;2;5;5601;SAN ANTONIO;0;34.150721;60.487118;70.465;100.0;70.8;93.642124;512;59.941327;2;2;3
2055;9;COLEGIO EL RETIRO;2;5;5601;SAN ANTONIO;0;51.092816;55.80832;73.91;100.0;62.833333;91.952906;533;64.336578;1;2;1
2057;5;ESCUELA PARTICULAR N. 33 MARIA KONIG;2;5;5601;SAN ANTONIO;0;30.79871;54.61985;0.0;100.0;0.0;90.969914;533;48.702462;2;2;3
2064;8;LICEO POETA VICENTE HUIDOBRO;1;5;5603;CARTAGENA;0;28.645143;49.933549;96.472727;100.0;86.833333;91.538829;533;56.848669;2;2;3
2065;6;ESCUELA PRESIDENTE AGUIRRE CERDA;1;5;5603;CARTAGENA;0;36.12902;58.205866;85.73;100.0;52.5;92.604936;513;59.807266;2;2;3
2066;4;LICEO EUGENIA SUBERCASEAUX;1;5;5603;CARTAGENA;0;33.830678;55.329217;0.0;100.0;0.0;92.737371;533;50.411753;2;2;3
2068;0;ESCUELA CARMEN ROMERO AGUIRRE;1;5;5603;CARTAGENA;1;42.621712;54.502415;97.488889;100.0;95.0;94.296461;521;64.375265;1;2;1
2069;9;ESCUELA LO ZARATE;1;5;5603;CARTAGENA;1;46.885299;52.209978;91.6;100.0;100.0;94.750842;521;65.30754;1;2;1
2071;0;ESCUELA BASICA SAN FRANCISCO;1;5;5603;CARTAGENA;1;47.617235;54.725847;89.177778;100.0;67.8;92.820448;522;64.102779;1;2;1
2074;5;ESCUELA BASICA LAS CRUCES;1;5;5605;EL TABO;0;39.061265;61.722447;91.28;100.0;68.166667;94.330472;513;63.372791;1;2;1
2075;3;COLEGIO EL TABO;1;5;5605;EL TABO;0;36.315935;53.223046;90.118182;100.0;75.25;94.624993;533;60.326438;2;2;3
2078;8;COMPLEJO EDUCACIONAL CLARA SOLOVERA;1;5;5604;EL QUISCO;0;32.897236;53.980734;77.3;100.0;58.916667;91.531606;533;57.00737;2;2;3
2079;6;ESCUELA POETA NERUDA DE ISLA NEGRA;1;5;5604;EL QUISCO;0;48.766807;59.855804;79.83;96.666667;83.333333;96.597894;512;66.94468;1;2;1
2081;8;ESCUELA EL TOTORAL;1;5;5604;EL QUISCO;1;35.495791;53.933122;0.0;100.0;0.0;94.907232;521;51.114308;2;2;3
2083;4;ESC.PART. SAN MIGUEL ARCANGEL;2;5;5604;EL QUISCO;0;39.840259;57.945325;86.68;100.0;92.333333;93.559747;512;63.366198;1;2;1
2084;2;COLEGIO CARLOS ALESSANDRI ALTAMIRANO;1;5;5602;ALGARROBO;0;31.808405;49.551169;91.94;100.0;76.25;90.411559;513;56.86288;2;2;3
2085;0;ESCUELA BASICA RURAL EL YECO;1;5;5602;ALGARROBO;1;34.728153;63.587985;85.63;100.0;70.583333;94.266998;513;62.059759;2;1;2
2087;7;ESCUELA BASICA RURAL SAN JOSE;1;5;5602;ALGARROBO;1;34.152908;57.888144;95.2;100.0;81.166667;91.687208;521;60.786776;2;2;3
2089;3;ESCUELA PARTICULAR SAN JOSE;2;5;5602;ALGARROBO;1;29.55231;54.725847;60.42;96.666667;46.166667;89.463128;521;53.806347;2;2;3
2090;7;COLEGIO TERESA DE LOS ANDES-ALGARROBO;2;5;5602;ALGARROBO;0;43.426766;54.976047;76.07;100.0;59.433333;93.851398;532;61.644371;2;2;3
2091;5;COLEGIO PEOPLE HELP PEOPLE;1;5;5606;SANTO DOMINGO;0;40.528715;54.048629;100.0;100.0;95.5;93.397011;532;63.451583;2;2;3
2092;3;ESCUELA EL CONVENTO;1;5;5606;SANTO DOMINGO;1;32.808328;43.687635;97.75;100.0;80.166667;94.797157;521;57.100327;2;2;3
2093;1;ESCUELA BUCALEMITO;1;5;5606;SANTO DOMINGO;1;36.640745;54.532987;75.955556;100.0;70.4;95.644979;522;59.945541;2;2;3
2095;8;ESCUELA BASICA JUANITA FERNANDEZ S.;1;5;5606;SANTO DOMINGO;1;34.636163;54.725847;0.0;100.0;0.0;93.992938;521;50.817063;2;2;3
2096;6;ESCUELA BASICA CLAUDIO VICUNA;1;5;5606;SANTO DOMINGO;1;51.76569;54.763975;98.044444;100.0;89.6;96.190123;521;68.011712;1;2;1
2099;0;COLEGIO STO. DOMINGO HELEN LEE LASSEN;2;5;5606;SANTO DOMINGO;0;46.992865;52.839172;80.59;100.0;96.3;93.109176;533;64.316747;1;2;1
2101;6;COLEGIO BASICO LORENZO BAEZA VEGA;1;5;5201;ISLA DE PASCUA;0;31.768119;58.60049;71.89;100.0;44.333333;91.845107;511;56.898331;2;2;3
2102;4;LICEO TECNICO A-4;4;6;6101;RANCAGUA;0;36.7571;58.233447;74.372727;100.0;72.333333;91.09538;632;60.025506;2;2;3
2103;2;LICEO INDUSTRIAL PRESIDENTE PEDRO AGUIRRE;4;6;6101;RANCAGUA;0;49.14048;51.22944;90.154545;100.0;91.333333;83.268251;632;62.821175;2;1;2
2104;0;LICEO BICENTENARIO DIEGO PORTALES;1;6;6101;RANCAGUA;0;44.43325;52.969839;88.590909;100.0;92.416667;93.77418;632;63.838465;1;2;1
2105;9;LICEO INDUSTRIAL ERNESTO PINTO LAGARRIGUE;4;6;6101;RANCAGUA;0;47.428028;48.858191;82.081818;100.0;77.166667;90.069151;632;61.82712;2;2;3
