RBD;DV_RBD;NOM_RBD;RBD_A1;RBD_A2;COD_DEPE;COD_DEPE2;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;RURAL_RBD;EFECTIVR;SUPERAR;INICIAR;MEJORAR;INTEGRAR;IGUALDR;CLUSTER;INDICER;SEL2018_25;SEL2018_35;SEL
7381;4;ESCUELA RURAL CHACAYAL; ; ;2;1;10;103;10301;OSORNO;103;OSORNO;2;48,1321479824993;62,2563978760922;58,2444444444444;100;40;91,9283992540409;1022;62,9596006613862;2;2;3
7382;2;ESCUELA RURAL LOS ABEDULES; ; ;2;1;10;103;10301;OSORNO;103;OSORNO;2;58,060049618257;68,0990577567873;67,7888888888889;100;44,6;93,3974429416004;1022;69,394725311141;2;1;2
7384;9;ESCUELA RURAL TACAMO ALTO; ; ;2;1;10;103;10301;OSORNO;103;OSORNO;2;34,1319109991104;60,7785173665586;78,3333333333333;100;57;93,0029871293978;1022;59,6574491007748;2;2;3
7385;7;ESCUELA PARTICULAR N.137 ARTURO ALESSANDRI; ; ;3;2;10;103;10301;OSORNO;103;OSORNO;1;46,0587460226606;56,2283818552704;95,79;87,5;72,1666666666667;95,0930042962031;1013;64,8118772263582;2;2;3
7386;5;ESCUELA PARTICULAR N.136 `JEAN PIAGET`; ; ;3;2;10;103;10301;OSORNO;103;OSORNO;1; ; ;91,6;87,5;89,25;98,0471953946955;1051;95,0825228237332;1;2;1
7388;1;COLEGIO SAN JOSE; ; ;3;2;10;103;10301;OSORNO;103;OSORNO;1;62,7160134476767;62,9713735725656;96,01;100;95,4166666666667;96,6188247603954;1032;74,6244843565791;1;2;1
7390;3;ESCUELA PARTICULAR N.130 AURORA DE CHILE; ; ;3;2;10;103;10301;OSORNO;103;OSORNO;1;34,2822312284861;60,7785173665586;61,22;87,5;50;92,4401446527556;1013;57,9624422407825;2;2;3
7391;1;COLEGIO BETEL; ; ;3;2;10;103;10301;OSORNO;103;OSORNO;1;47,8686410221254;54,5411497648734;92,33;100;75,1666666666667;96,3925116792813;1012;65,4874050151262;2;2;3
7396;2;COLEGIO BALDOMERO LILLO; ; ;3;2;10;103;10301;OSORNO;103;OSORNO;1;44,2065636411008;52,1982873246447;89,06;87,5;78,0833333333333;94,7897171304666;1013;62,8234534334771;2;2;3
7397;0;ESCUELA DE PARVULOS N.276 `PENEQUITA DOS`; ; ;3;2;10;103;10301;OSORNO;103;OSORNO;1;41,8945053669616;60,2136495096305;61,7545454545454;100;32,4;92,5035423889827;1013;60,0368409013212;2;2;3
7401;2;COLEGIO SANTA MARTA; ; ;3;2;10;103;10301;OSORNO;103;OSORNO;1;62,9125992119127;58,5530917255467;86,28;87,5;94,1666666666667;95,6018430537146;1032;72,3400661967113;2;1;2
7403;9;COLEGIO WILLIAM BOOTH; ; ;3;2;10;103;10301;OSORNO;103;OSORNO;1;58,2296255166569;62,0446107548314;86,32;100;68;97,4955046095257;1011;70,9456634666115;2;2;3
7404;7;COLEGIO RENE SORIANO BORQUEZ; ; ;3;2;10;103;10301;OSORNO;103;OSORNO;1;44,6292395398142;61,3256323668598;94,55;87,5;92,5;95,0405386223327;1013;66,6409141893652;1;2;1
7405;5;ESCUELA PARTICULAR N.134 ADVENTISTA; ; ;3;2;10;103;10301;OSORNO;103;OSORNO;1;50,9653254115479;63,533873638245;81,62;100;71,5;94,4239249058336;1011;67,8921185002647;2;2;3
7407;1;ESCUELA PARVULARIA `PEDRO AGUIRRE CERDA`; ; ;2;1;10;103;10301;OSORNO;103;OSORNO;1;48,2345776284573;62,4570175769643;70,6090909090909;100;75;93,6122729901252;1012;65,9160041564522;2;2;3
