RBD;DV_RBD;NOM_RBD;COD_DEPE2;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;RURAL_RBD;EFECTIVR;SUPERAR;INICIAR;MEJORAR;INTEGRAR;IGUALDR;CLUSTER;INDICER;SEL2022_25;SEL2022_35;SEL
10520;1;LICEO  EL PRINCIPAL;1;13;13202;PIRQUE;1;34.49172;63.54318;94.1125;98.64865;66.0;89.47182;1341;61.1575;2;2;3
10522;8;ESCUELA BASICA G-N°643 SAN JUAN DE PIRQUE;1;13;13202;PIRQUE;1;37.1088;46.99342;92.7;100.0;96.0;93.55317;1321;59.8321;2;2;3
10524;4;ESCUELA BASICA G-841 SANTOS RUBIO MORALES;1;13;13202;PIRQUE;0;48.80912;66.21208;98.2625;100.0;99.2;89.11296;1322;69.0594;1;2;1
10526;0;LICEO POLIVALENTE SAN JOSE DE MAIPO;1;13;13203;SAN JOSÉ DE MAIPO;0;30.37846;66.64373;0.0;100.0;0.0;81.13739;1333;49.7505;2;2;3
10527;9;ESCUELA JULIETA BECERRA ALVAREZ;1;13;13203;SAN JOSÉ DE MAIPO;0;36.74703;58.02866;0.0;100.0;0.0;79.71042;1312;49.3807;2;2;3
10528;7;ESCUELA GABRIELA TOBAR PARDO;1;13;13203;SAN JOSÉ DE MAIPO;1;32.39663;59.31448;86.61429;100.0;33.0;82.95622;1321;55.692;2;2;3
10529;5;ESCUELA BASICA F-N°638 EL MELOCOTON;1;13;13203;SAN JOSÉ DE MAIPO;1;31.78312;58.79999;97.525;94.59459;86.4;84.29283;1322;58.8316;2;2;3
10530;9;ESCUELA BASICA F-N°629 DE CONCENTRACION FRONTERIZA;1;13;13203;SAN JOSÉ DE MAIPO;1;38.48222;64.51159;98.5;95.94595;76.5;80.8985;1322;61.7533;2;2;3
10532;5;ESCUELA BASICA G-N°631 FRONTERIZA;1;13;13203;SAN JOSÉ DE MAIPO;1;43.20548;62.66019;0.0;100.0;0.0;93.4203;1322;56.0833;2;2;3
10536;8;ESCUELA BASICA G-N°635 INTEGRADORA EL MANZANO;1;13;13203;SAN JOSÉ DE MAIPO;1;39.3729;61.42277;0.0;100.0;0.0;83.30571;1321;52.0936;2;2;3
10537;6;ESCUELA BASICA G-N°636 SAN ALFONSO;1;13;13203;SAN JOSÉ DE MAIPO;1;45.53923;60.49781;89.11429;95.94595;60.25;80.33793;1321;61.7415;2;2;3
10540;6;COLEGIO RAFAEL EYZAGUIRRE;2;13;13203;SAN JOSÉ DE MAIPO;0;43.48951;60.21635;83.5;100.0;77.8;80.55462;1332;61.5737;2;2;3
