comuna;cut_comuna;region;cut_region;fecha;delito;delito_n
Machalí;6108;Libertador Gral. Bernardo O'Higgins;6;2020-11-01;Elaboración o producción de sustancias;0,000
Olivar;6111;Libertador Gral. Bernardo O'Higgins;6;2023-11-01;Receptación;0,000
Cañete;8203;Biobío;8;2022-07-01;Tortura o apremios ilegítimos con violación;0,000
María Pinto;13504;Metropolitana de Santiago;13;2018-08-01;Animales sueltos en la vía pública;0,000
Maullín;10108;Los Lagos;10;2020-03-01;Lesiones graves o gravísimas;0,000
Panguipulli;14108;Los Ríos;14;2020-06-01;Robos con violencia o intimidación;1,000
Alto Biobío;8314;Biobío;8;2018-06-01;Otros robos con fuerza en las cosas;0,000
Padre Las Casas;9112;La Araucanía;9;2021-05-01;Robo en lugar habitado;9,000
Río Verde;12103;Magallanes y de la Antártica Chilena;12;2019-10-01;Porte / posesión de armas o explosivos;0,000
Alto Biobío;8314;Biobío;8;2020-01-01;Hurtos;2,000
Puerto Octay;10302;Los Lagos;10;2019-10-01;Ofensas al pudor;0,000
Concón;5103;Valparaíso;5;2020-08-01;Robo en lugar habitado;4,000
Maule;7105;Maule;7;2022-04-01;Femicidio no íntimo;0,000
Peñaflor;13605;Metropolitana de Santiago;13;2019-05-01;Robo de vehículo motorizado;6,000
Coronel;8102;Biobío;8;2020-07-01;Violencia intrafamiliar a adulto mayor;1,000
Pichidegua;6113;Libertador Gral. Bernardo O'Higgins;6;2020-07-01;Lesiones leves;1,000
Quintero;5107;Valparaíso;5;2023-11-01;Otras infracciones a la ley de armas;0,000
Los Vilos;4203;Coquimbo;4;2023-06-01;Abigeato;0,000
Hualpén;8112;Biobío;8;2022-06-01;Robo por sorpresa;0,000
Pelluhue;7203;Maule;7;2018-12-01;Otras infracciones a la ley de armas;0,000
Lago Verde;11102;Aysén del General Carlos Ibáñez del Campo;11;2022-09-01;Elaboración o producción de sustancias;0,000
Yerbas Buenas;7408;Maule;7;2023-03-01;Amenazas o riña;16,000
Cartagena;5603;Valparaíso;5;2023-07-01;Otros robos con fuerza en las cosas;0,000
Hualañé;7302;Maule;7;2020-11-01;Violencia intrafamiliar a hombre;0,000
Lampa;13302;Metropolitana de Santiago;13;2023-10-01;Auxilio al suicidio;0,000
Santa Cruz;6310;Libertador Gral. Bernardo O'Higgins;6;2020-02-01;Robo violento de vehículo motorizado;0,000
Palena;10404;Los Lagos;10;2023-05-01;Disparo injustificado;0,000
Estación Central;13106;Metropolitana de Santiago;13;2023-08-01;Amenazas con armas;1,000
Lo Espejo;13116;Metropolitana de Santiago;13;2019-10-01;Homicidios;0,000
Sagrada Familia;7307;Maule;7;2023-04-01;Comercio ilegal;0,000
Isla de Maipo;13603;Metropolitana de Santiago;13;2022-07-01;Elaboración o producción de sustancias;0,000
Torres del Paine;12402;Magallanes y de la Antártica Chilena;12;2020-09-01;Robos en lugar no habitado;0,000
Ercilla;9204;La Araucanía;9;2019-05-01;Robo de objetos de o desde vehículo;2,000
Licantén;7303;Maule;7;2023-10-01;Robo por sorpresa;0,000
Mostazal;6110;Libertador Gral. Bernardo O'Higgins;6;2019-09-01;Lesiones menos graves;1,000
Coinco;6103;Libertador Gral. Bernardo O'Higgins;6;2022-09-01;Violencia intrafamiliar a hombre;0,000
Lampa;13302;Metropolitana de Santiago;13;2023-05-01;Robo con homicidio;1,000
Molina;7304;Maule;7;2022-06-01;Tortura o apremios ilegítimos con violación;0,000
San Felipe;5701;Valparaíso;5;2020-12-01;Robo con violación;0,000
Peralillo;6307;Libertador Gral. Bernardo O'Higgins;6;2022-08-01;Desórdenes públicos;0,000
La Granja;13111;Metropolitana de Santiago;13;2023-08-01;Disparo injustificado;5,000
Mostazal;6110;Libertador Gral. Bernardo O'Higgins;6;2023-11-01;Femicidio;0,000
Chanco;7202;Maule;7;2020-09-01;Robos en lugar no habitado;0,000
La Florida;13110;Metropolitana de Santiago;13;2020-11-01;Lesiones leves;69,000
Chanco;7202;Maule;7;2023-01-01;Otras violaciones;0,000
